# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).  Made with Strauss code. 
1.43415115e+02,3.13806057e+00,3.66505718e+00,1.15374768e+00,3.77769600e+07
1.43372894e+02,3.13871169e+00,1.67588711e+00,7.56224990e-01,3.02947240e+07
1.49831604e+02,4.57505137e-03,3.82332516e+00,8.11603606e-01,2.48571420e+07
1.44382141e+02,2.92591588e-03,3.99019814e+00,6.31463647e-01,3.87310360e+07
1.43153839e+02,3.13568282e+00,1.89249182e+00,4.58388865e-01,2.50482560e+07
1.40182434e+02,2.93338656e+00,4.99221802e+00,1.11942291e+00,6.05946840e+07
1.58867264e+02,3.67814279e-03,3.47155094e+00,8.64563465e-01,1.78124840e+07
1.50378113e+02,3.13659596e+00,1.27588463e+00,5.85049689e-01,2.40010560e+07
1.42376312e+02,1.31018851e-02,1.64689553e+00,3.98041755e-01,1.59185490e+07
1.40387833e+02,3.09484396e-02,4.95060158e+00,2.70381570e-01,2.56208500e+07
1.43124359e+02,3.13522577e+00,1.80895877e+00,4.30957258e-01,3.48664960e+07
1.41371811e+02,6.23953622e-03,2.70406461e+00,5.54591835e-01,2.08205640e+07
1.48404892e+02,2.28918361e-04,1.74720144e+00,2.57072985e-01,3.69021760e+07
1.44024780e+02,3.31074838e-03,2.55387545e+00,4.44694579e-01,3.16231700e+07
1.40115356e+02,3.83785814e-02,2.17931175e+00,3.59846473e-01,1.87639380e+07
1.47197739e+02,2.07502232e-03,2.05281162e+00,7.33290374e-01,4.39655360e+07
1.40036865e+02,2.92664909e+00,4.28129768e+00,8.82876888e-02,1.28607280e+07
1.41986420e+02,3.13418627e+00,2.47213006e+00,3.59943539e-01,1.62929230e+07
1.63981934e+02,8.09549168e-03,4.75532007e+00,1.08026803e+00,2.20824380e+07
1.40278305e+02,4.56494808e-01,3.23531580e+00,9.41919982e-02,2.08026120e+07
1.40210052e+02,8.18750918e-01,1.37044954e+00,3.24443549e-01,8.11792480e+07
1.40269836e+02,1.89228511e+00,9.71156001e-01,2.85308957e-01,5.90713800e+07
1.47636368e+02,1.34838396e-03,1.69394875e+00,4.33056772e-01,1.60045690e+07
1.41129868e+02,3.13702297e+00,6.08096552e+00,6.65416002e-01,2.41985280e+07
1.40340286e+02,2.02911806e+00,1.22925270e+00,3.90911043e-01,5.75394800e+07
1.42468140e+02,3.14012718e+00,5.38959646e+00,5.52149951e-01,1.85077480e+07
1.72554153e+02,1.43783418e-02,2.71635723e+00,1.13326156e+00,2.57308060e+07
1.41890991e+02,1.57243269e-03,3.33054662e+00,4.41162527e-01,2.46933300e+07
1.40120941e+02,3.13275170e+00,4.72994900e+00,3.00785005e-01,6.15850320e+07
1.44101669e+02,8.06482136e-03,1.64606237e+00,9.34922576e-01,2.50093600e+07
1.63449188e+02,3.11295652e+00,1.28613377e+00,8.63881290e-01,3.16751560e+07
1.40454697e+02,2.27768588e+00,9.85428154e-01,9.16449055e-02,3.76539160e+07
1.42363998e+02,3.13844347e+00,5.50229311e+00,9.12166953e-01,3.38806320e+07
1.40002350e+02,6.15797281e-01,3.87591147e+00,2.62807667e-01,2.60543140e+07
1.46572983e+02,3.14001775e+00,2.18764496e+00,3.16542953e-01,2.83933080e+07
1.40226044e+02,2.48971629e+00,4.40609169e+00,1.30982518e-01,1.33342110e+07
1.41422287e+02,3.13372684e+00,4.39662457e+00,7.70983040e-01,4.30099640e+07
1.40267975e+02,1.82882917e+00,6.28186083e+00,1.10284194e-01,2.61302360e+07
1.40885529e+02,3.12920570e+00,5.09794188e+00,3.79077196e-01,1.41338220e+07
1.40279663e+02,1.16791880e+00,1.82980561e+00,4.43897188e-01,3.85305720e+07
1.51296463e+02,3.14145231e+00,2.25859642e-01,5.05241275e-01,2.69044160e+07
1.57311356e+02,3.37634934e-03,4.20323372e-01,9.40842390e-01,3.17723960e+07
1.70333221e+02,3.09955621e+00,4.54049587e+00,1.07878208e+00,1.46589180e+07
1.44649261e+02,6.66247541e-03,1.11788750e-01,8.29983473e-01,6.59376440e+07
1.42028549e+02,6.60187472e-03,4.70723391e+00,8.72493505e-01,3.83835880e+07
1.44617950e+02,4.81252122e-04,1.97165012e+00,5.60799599e-01,2.32807340e+07
1.41187637e+02,9.60453879e-03,2.10406914e-01,4.29097027e-01,2.45272740e+07
1.41308853e+02,1.41066266e-02,4.44789696e+00,2.62258202e-01,1.71755620e+07
