# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
1.41519058e+02,6.86453143e-03,5.85217476e+00,3.62671494e-01,1.09664190e+07
1.70385208e+02,3.13901424e+00,4.52574730e-01,1.02104557e+00,4.79796720e+07
1.42280853e+02,7.34599307e-03,1.89540958e+00,6.70649827e-01,1.38398590e+07
1.59339584e+02,3.09355092e+00,2.41370201e-01,9.23031747e-01,1.45220340e+07
1.40416534e+02,3.13765597e+00,1.80308914e+00,3.08440387e-01,1.04177610e+07
1.50554428e+02,2.34882883e-03,1.53540421e+00,8.86235178e-01,2.06391740e+07
1.40548721e+02,3.12902284e+00,2.15715361e+00,4.68985766e-01,1.33050390e+07
1.40355682e+02,3.85311712e-03,5.77962732e+00,6.25069857e-01,1.86334120e+07
1.71007538e+02,3.13921666e+00,3.27397442e+00,9.83294129e-01,9.67724200e+06
1.43137909e+02,4.82900487e-03,1.93980217e-01,6.69063330e-01,2.17615460e+07
1.41626282e+02,4.24309541e-03,5.63415623e+00,5.92771649e-01,2.13669760e+07
1.41026077e+02,1.32004414e-02,5.82095528e+00,4.71764892e-01,8.71082700e+06
1.42703064e+02,3.13871288e+00,5.00092840e+00,5.29289246e-01,1.36711850e+07
1.44503372e+02,1.37294261e-02,1.12440014e+00,6.90756798e-01,7.16508600e+06
1.44198135e+02,3.13461041e+00,2.77544594e+00,4.16624010e-01,1.53392230e+07
1.50986511e+02,4.38845064e-03,1.92339993e+00,6.77664578e-01,1.39393430e+07
1.44822311e+02,3.13735700e+00,2.81860447e+00,5.42757332e-01,1.03642800e+07
1.40842728e+02,2.15797964e-02,4.07111216e+00,5.57726204e-01,3.19208740e+07
1.40684769e+02,3.12577271e+00,7.86442637e-01,5.67611575e-01,2.01009880e+07
1.44310944e+02,6.50825957e-03,2.45725822e+00,5.07719994e-01,1.50991160e+07
1.40942825e+02,1.69021264e-03,2.24575615e+00,3.29148799e-01,1.53448330e+07
1.40843658e+02,3.12779784e+00,2.68868947e+00,3.64005089e-01,2.17682780e+07
1.43964203e+02,4.13992628e-03,9.35775757e-01,3.33403945e-01,1.29325350e+07
1.45381287e+02,3.13455606e+00,3.50352764e+00,5.45380116e-01,1.06047610e+07
1.40126526e+02,3.13367605e+00,2.13936114e+00,7.03820348e-01,1.15846410e+07
1.61028107e+02,3.13377786e+00,5.06721735e+00,6.41084850e-01,1.19979100e+07
1.48582916e+02,3.13695836e+00,4.06762600e+00,1.09292102e+00,3.10666580e+07
1.40440750e+02,1.27097535e+00,6.80920064e-01,1.71118885e-01,1.18924420e+07
1.41418472e+02,1.29461205e-02,3.76566553e+00,7.44188309e-01,1.90616420e+07
1.40519455e+02,3.38727266e-01,1.68783948e-01,2.17538714e-01,1.65498600e+07
1.40158249e+02,1.09020062e-02,2.14294457e+00,1.58062115e-01,3.99469075e+06
1.41767090e+02,3.13611388e+00,1.74822509e-01,7.17220306e-01,9.77597800e+06
1.44916519e+02,3.13859320e+00,1.03077316e+00,5.47830701e-01,3.29680740e+07
1.44361847e+02,3.13509941e+00,5.30767012e+00,1.17505360e+00,1.77526440e+07
1.53977646e+02,5.33719873e-03,2.93782520e+00,1.57831287e+00,2.41753400e+07
1.40446426e+02,7.66155496e-03,2.12734962e+00,3.12427491e-01,2.23173100e+07
1.40618607e+02,3.14106107e+00,4.83834124e+00,9.94169354e-01,2.54622740e+07
1.40035873e+02,3.12723899e+00,2.32470679e+00,4.41634089e-01,2.98006700e+07
1.43706390e+02,3.31388088e-03,6.09588003e+00,4.15882766e-01,2.43006300e+07
1.42223099e+02,1.47232078e-02,4.42271620e-01,3.57964903e-01,1.96910840e+07
1.43993896e+02,3.13835430e+00,1.11686373e+00,4.18648750e-01,2.59959700e+07
1.77126755e+02,3.13887405e+00,1.35537243e+00,1.23881924e+00,1.59933490e+07
